SITE_ID,SITE_NAME,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
NL-Loo,Loobos,"Tier1,",Tier1: 1996,Tier1: 2013,52.1666,5.7436,25,ENF,9.8,786
,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
NO-Adv,Adventdalen,"Tier1,",Tier1: 2011,Tier1: 2014,78.186,15.923,17,WET,,
,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
NO-Blv,"Bayelva, Spitsbergen","Tier1,",Tier1: 2008,Tier1: 2009,78.9216,11.8311,25,SNO,-4.5,400
,,Tier2,Tier2: 2008,Tier2: 2009,,,,,,
PA-SPn,Sardinilla Plantation,Tier2,Tier2: 2007,Tier2: 2009,9.3181,-79.6346,78,DBF,26.5,2350
PA-SPs,Sardinilla-Pasture,Tier2,Tier2: 2007,Tier2: 2009,9.3138,-79.6314,68,GRA,26.5,2350
RU-Che,Cherski,"Tier1,",Tier1: 2002,Tier1: 2005,68.613,161.3414,6,WET,-11,197
,,Tier2,Tier2: 2002,Tier2: 2005,,,,,,
RU-Cok,Chokurdakh,"Tier1,",Tier1: 2003,Tier1: 2014,70.8291,147.4943,48,OSH,-14.3,232
,,Tier2,Tier2: 2003,Tier2: 2014,,,,,,
RU-Fyo,Fyodorovskoye,"Tier1,",Tier1: 1998,Tier1: 2014,56.4615,32.9221,265,ENF,3.9,711
,,Tier2,Tier2: 1998,Tier2: 2014,,,,,,
RU-Ha1,Hakasia steppe,"Tier1,",Tier1: 2002,Tier1: 2004,54.7252,90.0022,446,GRA,,
,,Tier2,Tier2: 2002,Tier2: 2004,,,,,,
RU-Sam,Samoylov,Tier2,Tier2: 2002,Tier2: 2014,72.3738,126.4958,,GRA,,
RU-SkP,Yakutsk Spasskaya Pad larch,Tier2,Tier2: 2012,Tier2: 2014,62.255,129.168,246,DNF,,
RU-Tks,Tiksi,Tier2,Tier2: 2010,Tier2: 2014,71.5943,128.8878,7,GRA,-12.7,323
